# KPS9566.TXT
0x824D	0xAC5E	# 걞
0x824E	0xAC5F	# 걟
0x824F	0xAC60	# 걠
0x8250	0xAC61	# 걡
0x8251	0xAC62	# 걢
0x8252	0xAC63	# 걣
0x8253	0xAC64	# 걤
0x8254	0xAC65	# 걥
0x8255	0xAC66	# 걦
0x8256	0xAC67	# 걧
0x8257	0xAC69	# 걩
0x8258	0xAC6A	# 걪
0x8259	0xAC6B	# 걫
0x825A	0xAC6C	# 걬
0x8261	0xAC6D	# 걭
0x8262	0xAC6E	# 걮
0x8263	0xAC6F	# 걯
0x8264	0xAC56	# 걖
0x8265	0xAC68	# 걨
0x8266	0xAC8F	# 겏
0x8267	0xAC91	# 겑
0x8268	0xAC92	# 겒
0x8269	0xAC93	# 겓
0x826A	0xAC95	# 겕
0x826B	0xAC96	# 겖
0x826C	0xAC97	# 겗
0x826D	0xAC98	# 겘
0x826E	0xAC99	# 겙
0x826F	0xAC9A	# 겚
0x8270	0xAC9B	# 겛
0x8271	0xAC9E	# 겞
0x8272	0xACA2	# 겢
0x8273	0xACA3	# 겣
0x8274	0xACA4	# 겤
0x8275	0xACA5	# 겥
0x8276	0xACA6	# 겦
0x8277	0xACA7	# 겧
0x8278	0xAC8E	# 겎
0x8279	0xACC5	# 곅
0x827A	0xACC7	# 곇
0x8281	0xACC9	# 곉
0x8282	0xACCA	# 곊
0x8283	0xACCB	# 곋
0x8284	0xACCD	# 곍
0x8285	0xACCE	# 곎
0x8286	0xACCF	# 곏
0x8287	0xACD0	# 곐
0x8288	0xACD1	# 곑
0x8289	0xACD2	# 곒
0x828A	0xACD3	# 곓
0x828B	0xACD4	# 곔
0x828C	0xACD6	# 곖
0x828D	0xACD9	# 곙
0x828E	0xACDA	# 곚
0x828F	0xACDB	# 곛
0x8290	0xACDC	# 곜
0x8291	0xACDD	# 곝
0x8292	0xACDE	# 곞
0x8293	0xACDF	# 곟
0x8294	0xACC6	# 곆
0x8295	0xACD8	# 곘
0x8296	0xAD37	# 괷
0x8297	0xAD39	# 괹
0x8298	0xAD3A	# 괺
0x8299	0xAD3B	# 괻
0x829A	0xAD3D	# 괽
0x829B	0xAD3E	# 괾
0x829C	0xAD3F	# 괿
0x829D	0xAD40	# 굀
0x829E	0xAD41	# 굁
0x829F	0xAD42	# 굂
0x82A0	0xAD43	# 굃
0x82A1	0xAD46	# 굆
0x82A2	0xAD4A	# 굊
0x82A3	0xAD4B	# 굋
0x82A4	0xAD4C	# 굌
0x82A5	0xAD4D	# 굍
0x82A6	0xAD4E	# 굎
0x82A7	0xAD4F	# 굏
0x82A8	0xAD36	# 괶
0x82A9	0xADC3	# 귃
0x82AA	0xADC5	# 귅
0x82AB	0xADC6	# 귆
0x82AC	0xADC7	# 귇
0x82AD	0xADC9	# 귉
0x82AE	0xADCA	# 귊
0x82AF	0xADCB	# 귋
0x82B0	0xADCC	# 귌
0x82B1	0xADCD	# 귍
0x82B2	0xADCE	# 귎
0x82B3	0xADCF	# 귏
0x82B4	0xADD2	# 귒
0x82B5	0xADD5	# 귕
0x82B6	0xADD6	# 귖
0x82B7	0xADD7	# 귗
0x82B8	0xADD8	# 귘
0x82B9	0xADD9	# 귙
0x82BA	0xADDA	# 귚
0x82BB	0xADDB	# 귛
0x82BC	0xADC2	# 귂
0x82BD	0xADD4	# 귔
0x82BE	0xAE15	# 긕
0x82BF	0xAE17	# 긗
0x82C0	0xAE18	# 긘
0x82C1	0xAE19	# 긙
0x82C2	0xAE1A	# 긚
0x82C3	0xAE1B	# 긛
0x82C4	0xAE1C	# 긜
0x82C5	0xAE1D	# 긝
0x82C6	0xAE1E	# 긞
0x82C7	0xAE1F	# 긟
0x82C8	0xAE20	# 긠
0x82C9	0xAE21	# 긡
0x82CA	0xAE22	# 긢
0x82CB	0xAE23	# 긣
0x82CC	0xAE24	# 긤
0x82CD	0xAE25	# 긥
0x82CE	0xAE26	# 긦
0x82CF	0xAE27	# 긧
0x82D0	0xAE29	# 긩
0x82D1	0xAE2A	# 긪
0x82D2	0xAE2B	# 긫
0x82D3	0xAE2C	# 긬
0x82D4	0xAE2D	# 긭
0x82D5	0xAE2E	# 긮
0x82D6	0xAE2F	# 긯
0x82D7	0xAE16	# 긖
0x82D8	0xAE28	# 긨
0x82D9	0xACFF	# 곿
0x82DA	0xAD01	# 괁
0x82DB	0xAD02	# 괂
0x82DC	0xAD05	# 괅
0x82DD	0xAD07	# 괇
0x82DE	0xAD08	# 괈
0x82DF	0xAD09	# 괉
0x82E0	0xAD0A	# 괊
0x82E1	0xAD0B	# 괋
0x82E2	0xAD0E	# 괎
0x82E3	0xAD12	# 괒
0x82E4	0xAD13	# 괓
0x82E5	0xAD14	# 괔
0x82E6	0xAD15	# 괕
0x82E7	0xAD16	# 괖
0x82E8	0xAD17	# 괗
0x82E9	0xACFE	# 곾
0x82EA	0xAD8B	# 궋
0x82EB	0xAD8D	# 궍
0x82EC	0xAD8E	# 궎
0x82ED	0xAD8F	# 궏
0x82EE	0xAD91	# 궑
0x82EF	0xAD92	# 궒
0x82F0	0xAD93	# 궓
0x82F1	0xAD94	# 궔
0x82F2	0xAD95	# 궕
0x82F3	0xAD96	# 궖
0x82F4	0xAD97	# 궗
0x82F5	0xAD99	# 궙
0x82F6	0xAD9A	# 궚
0x82F7	0xAD9B	# 궛
0x82F8	0xAD9E	# 궞
0x82F9	0xAD9F	# 궟
0x82FA	0xADA0	# 궠
0x82FB	0xADA1	# 궡
0x82FC	0xADA2	# 궢
0x82FD	0xADA3	# 궣
0x82FE	0xAD8A	# 궊
0x8341	0xAD1B	# 괛
0x8342	0xAD1D	# 괝
0x8343	0xAD1E	# 괞
0x8344	0xAD1F	# 괟
0x8345	0xAD21	# 괡
0x8346	0xAD22	# 괢
0x8347	0xAD23	# 괣
0x8348	0xAD24	# 괤
0x8349	0xAD25	# 괥
0x834A	0xAD26	# 괦
0x834B	0xAD27	# 괧
0x834C	0xAD28	# 괨
0x834D	0xAD2A	# 괪
0x834E	0xAD2B	# 괫
0x834F	0xAD2E	# 괮
0x8350	0xAD2F	# 괯
0x8351	0xAD30	# 괰
0x8352	0xAD31	# 괱
0x8353	0xAD32	# 괲
0x8354	0xAD33	# 괳
0x8355	0xAD1A	# 괚
0x8356	0xADA7	# 궧
0x8357	0xADA8	# 궨
0x8358	0xADA9	# 궩
0x8359	0xADAA	# 궪
0x835A	0xADAB	# 궫
0x8361	0xADAC	# 궬
0x8362	0xADAD	# 궭
0x8363	0xADAE	# 궮
0x8364	0xADAF	# 궯
0x8365	0xADB0	# 궰
0x8366	0xADB1	# 궱
0x8367	0xADB2	# 궲
0x8368	0xADB3	# 궳
0x8369	0xADB4	# 궴
0x836A	0xADB5	# 궵
0x836B	0xADB6	# 궶
